NUTSIII;MUNICIP;VALUE
ALTO MINHO;ARCOS DE VALDEVEZ;46693945
ALTO MINHO;CAMINHA;46198495
ALTO MINHO;MELGAÇO;17177075
ALTO MINHO;MONÇÃO;44622830
ALTO MINHO;PAREDES DE COURA;17036520
ALTO MINHO;PONTE DA BARCA;21789280
ALTO MINHO;PONTE DE LIMA;90653730
ALTO MINHO;VALENÇA;42720290
ALTO MINHO;VIANA DO CASTELO;243923400
ALTO MINHO;VILA NOVA DE CERVEIRA;27981415
CÁVADO;AMARES;37124400
CÁVADO;BARCELOS;278709195
CÁVADO;BRAGA;560035410
CÁVADO;ESPOSENDE;89910045
CÁVADO;TERRAS DE BOURO;14439430
CÁVADO;VILA VERDE;101303855
AVE;CABECEIRAS DE BASTO;35929990
AVE;FAFE;116750040
AVE;GUIMARÃES;480338685
AVE;MONDIM DE BASTO;11463245
AVE;PÓVOA DE LANHOSO;54025110
AVE;VIEIRA DO MINHO;27030105
AVE;VILA NOVA DE FAMALICÃO;367283890
AVE;VIZELA;70946390
ÁREA METROPOLITANA DO PORTO;AROUCA;45269665
ÁREA METROPOLITANA DO PORTO;ESPINHO;122346375
ÁREA METROPOLITANA DO PORTO;GONDOMAR;329229275
ÁREA METROPOLITANA DO PORTO;MAIA;367814335
ÁREA METROPOLITANA DO PORTO;MATOSINHOS;562051465
ÁREA METROPOLITANA DO PORTO;OLIVEIRA DE AZEMÉIS;134841530
ÁREA METROPOLITANA DO PORTO;PAREDES;186209555
ÁREA METROPOLITANA DO PORTO;PORTO;998867265
ÁREA METROPOLITANA DO PORTO;PÓVOA DE VARZIM;209424780
ÁREA METROPOLITANA DO PORTO;SANTA MARIA DA FEIRA;338097005
ÁREA METROPOLITANA DO PORTO;SANTO TIRSO;177356885
ÁREA METROPOLITANA DO PORTO;SÃO JOÃO DA MADEIRA;119193005
ÁREA METROPOLITANA DO PORTO;TROFA;104937220
ÁREA METROPOLITANA DO PORTO;VALE DE CAMBRA;62030870
ÁREA METROPOLITANA DO PORTO;VALONGO;218795910
ÁREA METROPOLITANA DO PORTO;VILA DO CONDE;216703885
ÁREA METROPOLITANA DO PORTO;VILA NOVA DE GAIA;762874830
ALTO TÂMEGA;BOTICAS;7041990
ALTO TÂMEGA;CHAVES;100771785
ALTO TÂMEGA;MONTALEGRE;18253230
ALTO TÂMEGA;RIBEIRA DE PENA;11436980
ALTO TÂMEGA;VALPAÇOS;27918835
