NUTSIII;VALUE
ALTO MINHO;598796980
CÁVADO;1081522335
AVE;1163767455
ÁREA METROPOLITANA DO PORTO;4956043855
ALTO TÂMEGA;186155180
TÂMEGA E SOUSA;961296475
DOURO;402555355
TERRAS DE TRÁS-OS-MONTES;247334925
OESTE;940834260
REGIÃO DE AVEIRO;973684680
REGIÃO DE COIMBRA;1126359780
REGIÃO DE LEIRIA;732044495
VISEU DÃO LAFÕES;590229295
BEIRA BAIXA;195680195
MÉDIO TEJO;599714535
BEIRAS E SERRA DA ESTRELA;498483425
ÁREA METROPOLITANA DE LISBOA;8341730240
ALENTEJO LITORAL;299211015
BAIXO ALENTEJO;307173455
LEZÍRIA DO TEJO;616214445
ALTO ALENTEJO;297059315
ALENTEJO CENTRAL;445225960
ALGARVE;1514719295
REGIÃO AUTÓNOMA DOS AÇORES;576164225
REGIÃO AUTÓNOMA DA MADEIRA;645408195
